"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)"
"De Waard";"Leiden                                  ";2235;1555;270;415
"Stationsdistrict";"Leiden                                  ";2700;1445;655;600
"Stationskwartier";"Leiden                                  ";2700;1450;650;600
"Leiden-Noord";"Leiden                                  ";15325;8825;1920;4585
"Groenoord";"Leiden                                  ";3295;2090;600;610
"Noorderkwartier";"Leiden                                  ";5705;3090;695;1920
"De Kooi";"Leiden                                  ";6320;3645;625;2050
"Roodenburgerdistrict";"Leiden                                  ";23500;16315;2890;4300
"Meerburg";"Leiden                                  ";2205;1470;235;490
"Rijndijkbuurt";"Leiden                                  ";2380;1730;305;345
"Professorenwijk-Oost";"Leiden                                  ";1275;920;155;200
"Burgemeesterswijk";"Leiden                                  ";1975;1470;265;240
"Professorenwijk-West";"Leiden                                  ";2990;2275;315;395
"Tuinstadwijk";"Leiden                                  ";3760;2690;425;645
"Cronestein";"Leiden                                  ";4910;2955;720;1235
"Klein Cronestein";"Leiden                                  ";10;10;5;0
"Roomburg";"Leiden                                  ";2940;2110;280;545
"Waardeiland";"Leiden                                  ";1060;685;175;200
"Bos- en Gasthuisdistrict";"Leiden                                  ";20680;12770;2195;5715
"Vreewijk";"Leiden                                  ";2455;1750;385;320
"Haagweg-Noord";"Leiden                                  ";1840;1180;260;410
"Gasthuiswijk";"Leiden                                  ";2420;1525;240;655
"Fortuinwijk-Noord";"Leiden                                  ";3565;2070;360;1140
"Boshuizen";"Leiden                                  ";4180;2530;365;1285
"Oostvliet";"Leiden                                  ";375;285;35;60
"Haagweg-Zuid";"Leiden                                  ";3755;1995;355;1405
"Fortuinwijk-Zuid";"Leiden                                  ";2085;1440;195;455
"Morsdistrict";"Leiden                                  ";11670;7120;1565;2980
"Transvaalbuurt";"Leiden                                  ";2045;1280;380;380
"Lage Mors";"Leiden                                  ";4415;2890;460;1060
"Hoge Mors";"Leiden                                  ";5215;2945;725;1545
"Boerhaavedistrict";"Leiden                                  ";7105;3945;1400;1755
"Pesthuiswijk";"Leiden                                  ";2270;1225;415;625
"Houtkwartier";"Leiden                                  ";1915;955;440;520
"Raadsherenbuurt";"Leiden                                  ";885;605;140;140
"Vogelwijk";"Leiden                                  ";1300;970;180;150
"Leeuwenhoek";"Leiden                                  ";730;190;225;310
"Merenwijkdistrict";"Leiden                                  ";13965;8700;1475;3790
"Slaaghwijk";"Leiden                                  ";4385;1775;295;2315
"Zijlwijk-Zuid";"Leiden                                  ";2425;1800;240;385
"Zijlwijk-Noord";"Leiden                                  ";2365;1770;255;345
"Merenwijk-Centrum";"Leiden                                  ";1055;700;150;205
"Leedewijk-Zuid";"Leiden                                  ";935;670;130;130
"Leedewijk-Noord";"Leiden                                  ";2805;1980;415;410
"Stevenshofdistrict";"Leiden                                  ";10705;8285;680;1740
"Schenkwijk";"Leiden                                  ";1945;1575;105;270
"Kloosterhof";"Leiden                                  ";2830;2270;190;365
"Dobbewijk-Noord";"Leiden                                  ";1425;1010;110;310
"Dobbewijk-Zuid";"Leiden                                  ";4500;3430;280;795
"Leiderdorp";"Leiderdorp                              ";27736;20445;2129;5162
"Wijk 00";"Leiderdorp                              ";16375;11710;1405;3260
"Kerkwijk";"Leiderdorp                              ";2020;1625;160;230
"Ouderzorg";"Leiderdorp                              ";3485;2665;320;500
"Zijlkwartier";"Leiderdorp                              ";830;640;65;125
"De Vogelwijk";"Leiderdorp                              ";2065;1585;165;320
"De Baanderij";"Leiderdorp                              ";195;110;25;65
"Schansen en Dreven";"Leiderdorp                              ";2165;1180;120;870
"Winkelhof";"Leiderdorp                              ";880;485;170;215
"Binnenhof";"Leiderdorp                              ";1405;1065;110;230
"Voorhof";"Leiderdorp                              ";2925;2115;240;570
"Elisabethhof";"Leiderdorp                              ";390;230;25;135
"De Bloemerd";"Leiderdorp                              ";20;20;0;0
"Wijk 01";"Leiderdorp                              ";3315;2710;220;390
"Oranjewijk";"Leiderdorp                              ";1740;1455;115;175
"Doeskwartier";"Leiderdorp                              ";845;665;55;125
"t Heerlijk Recht";"Leiderdorp                              ";405;315;25;60
"Buitengebied";"Leiderdorp                              ";325;275;20;25
"Wijk 02";"Leiderdorp                              ";8045;6025;505;1515
"Boterhuispolder";"Leiderdorp                              ";40;30;10;5
"Buitenhof-Oost-Zuid";"Leiderdorp                              ";2000;1490;120;390
"Buitenhof-Midden-West";"Leiderdorp                              ";3190;2470;190;535
"Leyhof";"Leiderdorp                              ";2415;1740;160;520
"Driegatenbrug";"Leiderdorp                              ";405;300;25;75
"Leidschendam-Voorburg";"Leidschendam-Voorburg                   ";78229;48821;8640;20768
"De Zijde / Duivenvoorde / Park Veursehou";"Leidschendam-Voorburg                   ";5370;3495;640;1235
"De Zijde";"Leidschendam-Voorburg                   ";1460;930;165;365
"Duivenvoorde";"Leidschendam-Voorburg                   ";2105;1470;185;445
"Park Veursehout";"Leidschendam-Voorburg                   ";1465;875;265;325
"Leidsenhage";"Leidschendam-Voorburg                   ";0;0;0;0
"Schakenbosch en het Buitengebied";"Leidschendam-Voorburg                   ";345;220;25;95
"Prinsenhof";"Leidschendam-Voorburg                   ";5760;2530;415;2810
"Prinsenhof hoog";"Leidschendam-Voorburg                   ";4670;1710;335;2620
"Prinsenhof laag";"Leidschendam-Voorburg                   ";1095;820;80;190
"'t Lien / De Rietvink";"Leidschendam-Voorburg                   ";6955;4820;590;1545
"'t Lien zuid";"Leidschendam-Voorburg                   ";2855;1950;265;645
"De Rietvink / Veursestraatweg";"Leidschendam-Voorburg                   ";2530;1775;210;545
"'t Lien noord";"Leidschendam-Voorburg                   ";1565;1095;110;360
"Stompwijk";"Leidschendam-Voorburg                   ";2355;2090;105;165
"Kern Stompwijk";"Leidschendam-Voorburg                   ";1520;1350;45;120
"Landelijk gebied Stompwijk";"Leidschendam-Voorburg                   ";835;735;60;45
"Leidschendam - Zuid en omgeving";"Leidschendam-Voorburg                   ";6545;4390;730;1425
"Damcentrum";"Leidschendam-Voorburg                   ";1550;1060;195;290
"Klein Plaspoelpolder";"Leidschendam-Voorburg                   ";730;500;65;170
"Leidschendam - Zuid De Tol / 't Hert";"Leidschendam-Voorburg                   ";2150;1400;130;620
"Zeeheldenwijk";"Leidschendam-Voorburg                   ";1075;865;85;125
"Leidschendam - Zuid De Oude Bleijck";"Leidschendam-Voorburg                   ";1050;560;265;225
"De Heuvel / Amstelwijk";"Leidschendam-Voorburg                   ";3250;1345;290;1615
"De Heuvel zuid";"Leidschendam-Voorburg                   ";1225;575;135;510
"Amstelwijk";"Leidschendam-Voorburg                   ";540;305;35;205
"De Heuvel noord";"Leidschendam-Voorburg                   ";1485;465;120;900
"Damsigt en omgeving";"Leidschendam-Voorburg                   ";6995;5180;660;1155
"Damsigt";"Leidschendam-Voorburg                   ";1060;815;95;145
"Verzetsheldenwijk";"Leidschendam-Voorburg                   ";1990;1520;150;325
"Raadhuiskwartier";"Leidschendam-Voorburg                   ";2285;1620;255;415
"Sijtwende";"Leidschendam-Voorburg                   ";825;575;90;160
"Kleurenbuurt";"Leidschendam-Voorburg                   ";835;645;75;110
"Essesteijn";"Leidschendam-Voorburg                   ";5820;3730;705;1385
"Essesteijn / Gaarden";"Leidschendam-Voorburg                   ";975;540;105;325
"Nieuw Essesteijn / Zijdezigt";"Leidschendam-Voorburg                   ";750;425;115;210
"Essesteijn / Weiden";"Leidschendam-Voorburg                   ";875;570;105;200
"Essesteijn / Tuinen";"Leidschendam-Voorburg                   ";1035;735;125;175
"Essesteijn / Dreven";"Leidschendam-Voorburg                   ";2185;1455;260;470
"Voorburg Midden";"Leidschendam-Voorburg                   ";8050;4570;900;2575
"Voorburg Midden noord";"Leidschendam-Voorburg                   ";2760;1430;240;1090
"Voorburg Midden midden";"Leidschendam-Voorburg                   ";2980;1725;355;900
"Voorburg Midden zuid";"Leidschendam-Voorburg                   ";2305;1415;305;585
"Bovenveen";"Leidschendam-Voorburg                   ";7650;3835;1040;2780
"Bovenveen noord";"Leidschendam-Voorburg                   ";2285;1215;285;780
"Bovenveen midden";"Leidschendam-Voorburg                   ";4215;1940;570;1705
"Bovenveen zuid";"Leidschendam-Voorburg                   ";1150;675;180;290
"Voorburg Noord";"Leidschendam-Voorburg                   ";6985;3680;1165;2150
"Voorburg Noord zuid";"Leidschendam-Voorburg                   ";3800;2090;550;1165
"Voorburg Noord noord";"Leidschendam-Voorburg                   ";3185;1590;610;985
"Voorburg West / Park Leeuwenbergh";"Leidschendam-Voorburg                   ";5230;3765;615;855
"Voorburg West zuid";"Leidschendam-Voorburg                   ";2830;2060;345;420
"Park Leeuwenbergh";"Leidschendam-Voorburg                   ";415;280;65;65
"Voorburg West noord";"Leidschendam-Voorburg                   ";1990;1420;205;370
"Voorburg Oud";"Leidschendam-Voorburg                   ";7260;5410;775;1075
"Voorburg Oud noord";"Leidschendam-Voorburg                   ";4325;3240;475;610
"Voorburg Oud zuid";"Leidschendam-Voorburg                   ";2935;2165;300;465
"Lelystad";"Lelystad                                ";84080;51309;8836;23935
"Zuiderzeewijk";"Lelystad                                ";6665;2865;1230;2570
"Kofschip, SGL";"Lelystad                                ";385;0;350;40
"Zuiderzeelaan, Waddenlaan";"Lelystad                                ";2880;1010;325;1545
"IJssellaan";"Lelystad                                ";1065;480;135;455
"Langezand";"Lelystad                                ";405;245;45;110
"Kofschip Noord";"Lelystad                                ";0;0;0;0
"Groene Velden";"Lelystad                                ";270;220;15;40
"Overijsselse Hout";"Lelystad                                ";0;0;0;0
"Bedrijventerrein Gildenhof";"Lelystad                                ";15;10;0;0
"Jagersveld";"Lelystad                                ";155;120;10;20
"Bastion";"Lelystad                                ";525;220;150;160
"Stadspark, Badweg, Langevelderslag";"Lelystad                                ";270;230;20;25
"Lelycentre, Maerlant";"Lelystad                                ";695;330;185;170
"Sportpark Langezand";"Lelystad                                ";0;0;0;0
